timestamp,consumption_kwh,temperature_C,hour,day_of_week,day_name,rolling_mean_24h,rolling_std_24h,lag_24h,is_holiday,is_weekend,is_peak_hour,is_offpeak
2025-08-19 08:45:39.584798,3145.67,20.19,8,1,Tuesday,3145.67,0.0,3145.67,0,0,0,0
2025-08-19 09:45:39.584798,3139.96,19.68,9,1,Tuesday,3142.82,4.04,3145.67,0,0,0,0
2025-08-19 10:45:39.584798,2961.95,20.97,10,1,Tuesday,3082.53,104.46,3145.67,0,0,0,0
2025-08-19 11:45:39.584798,2806.0,22.05,11,1,Tuesday,3013.4,162.45,3145.67,0,0,0,0
2025-08-19 12:45:39.584798,2424.5,18.86,12,1,Tuesday,2895.62,298.59,3145.67,0,0,0,0
2025-08-19 13:45:39.584798,2302.01,18.01,13,1,Tuesday,2796.68,360.63,3145.67,0,0,0,0
2025-08-19 14:45:39.584798,1971.83,19.66,14,1,Tuesday,2678.85,453.4,3145.67,0,0,0,0
2025-08-19 15:45:39.584798,1599.36,17.22,15,1,Tuesday,2543.91,567.33,3145.67,0,0,0,0
2025-08-19 16:45:39.584798,1438.09,14.06,16,1,Tuesday,2421.04,646.15,3145.67,0,0,0,0
2025-08-19 17:45:39.584798,1214.06,14.29,17,1,Tuesday,2300.34,718.88,3145.67,0,0,0,0
2025-08-19 18:45:39.584798,831.65,11.6,18,1,Tuesday,2166.83,813.15,3145.67,0,0,1,0
2025-08-19 19:45:39.584798,787.59,10.6,19,1,Tuesday,2051.89,871.57,3145.67,0,0,1,0
2025-08-19 20:45:39.584798,752.0,10.92,20,1,Tuesday,1951.9,909.01,3145.67,0,0,1,0
2025-08-19 21:45:39.584798,800.96,7.24,21,1,Tuesday,1869.69,925.94,3145.67,0,0,1,0
2025-08-19 22:45:39.584798,1072.45,7.42,22,1,Tuesday,1816.54,915.69,3145.67,0,0,0,0
2025-08-19 23:45:39.584798,1182.59,9.39,23,1,Tuesday,1776.92,898.73,3145.67,0,0,0,0
2025-08-20 00:45:39.584798,1436.31,9.27,0,2,Wednesday,1756.88,874.1,3145.67,0,0,0,1
2025-08-20 01:45:39.584798,1577.94,12.11,1,2,Wednesday,1746.94,849.05,3145.67,0,0,0,1
2025-08-20 02:45:39.584798,2109.54,11.35,2,2,Wednesday,1766.02,829.31,3145.67,0,0,0,1
2025-08-20 03:45:39.584798,2270.02,11.82,3,2,Wednesday,1791.22,815.02,3145.67,0,0,0,1
2025-08-20 04:45:39.584798,2632.6,17.43,4,2,Wednesday,1831.29,815.33,3145.67,0,0,0,1
2025-08-20 05:45:39.584798,2898.87,16.18,5,2,Wednesday,1879.82,827.59,3145.67,0,0,0,1
2025-08-20 06:45:39.584798,3164.9,17.8,6,2,Wednesday,1935.69,851.81,3145.67,0,0,0,0
2025-08-20 07:45:39.584798,3068.9,16.56,7,2,Wednesday,1982.91,864.6,3145.67,0,0,0,0
2025-08-20 08:45:39.584798,2959.31,18.63,8,2,Wednesday,1975.14,854.48,3145.67,0,0,0,0
2025-08-20 09:45:39.584798,3166.17,20.05,9,2,Wednesday,1976.23,856.05,3139.96,0,0,0,0
2025-08-20 10:45:39.584798,3170.64,18.27,10,2,Wednesday,1984.93,867.48,2961.95,0,0,0,0
2025-08-20 11:45:39.584798,2927.45,20.33,11,2,Wednesday,1989.99,872.82,2806.0,0,0,0,0
2025-08-20 12:45:39.584798,2593.56,18.31,12,2,Wednesday,1997.03,877.15,2424.5,0,0,0,0
2025-08-20 13:45:39.584798,2245.78,17.93,13,2,Wednesday,1994.69,876.37,2302.01,0,0,0,0
2025-08-20 14:45:39.584798,2041.39,16.39,14,2,Wednesday,1997.59,876.41,1971.83,0,0,0,0
2025-08-20 15:45:39.584798,1584.71,18.84,15,2,Wednesday,1996.98,876.71,1599.36,0,0,0,0
2025-08-20 16:45:39.584798,1421.35,14.74,16,2,Wednesday,1996.28,877.18,1438.09,0,0,0,0
2025-08-20 17:45:39.584798,1187.0,11.89,17,2,Wednesday,1995.15,878.24,1214.06,0,0,0,0
2025-08-20 18:45:39.584798,1039.64,13.53,18,2,Wednesday,2003.82,867.22,831.65,0,0,1,0
2025-08-20 19:45:39.584798,1073.15,9.47,19,2,Wednesday,2015.72,851.62,787.59,0,0,1,0
2025-08-20 20:45:39.584798,845.07,10.87,20,2,Wednesday,2019.6,845.81,752.0,0,0,1,0
2025-08-20 21:45:39.584798,835.74,7.18,21,2,Wednesday,2021.04,843.66,800.96,0,0,1,0
2025-08-20 22:45:39.584798,1001.19,8.01,22,2,Wednesday,2018.08,847.26,1072.45,0,0,0,0
2025-08-20 23:45:39.584798,1051.21,10.53,23,2,Wednesday,2012.6,853.3,1182.59,0,0,0,0
2025-08-21 00:45:39.584798,1387.81,11.9,0,3,Thursday,2010.58,854.78,1436.31,0,0,0,1
2025-08-21 01:45:39.584798,1706.68,11.89,1,3,Thursday,2015.94,852.35,1577.94,0,0,0,1
2025-08-21 02:45:39.584798,2009.0,12.53,2,3,Thursday,2011.76,852.11,2109.54,0,0,0,1
2025-08-21 03:45:39.584798,2369.89,13.48,3,3,Thursday,2015.92,853.67,2270.02,0,0,0,1
2025-08-21 04:45:39.584798,2584.15,13.02,4,3,Thursday,2013.9,852.21,2632.6,0,0,0,1
2025-08-21 05:45:39.584798,2969.92,15.44,5,3,Thursday,2016.86,855.53,2898.87,0,0,0,1
2025-08-21 06:45:39.584798,3058.57,17.01,6,3,Thursday,2012.43,849.58,3164.9,0,0,0,0
2025-08-21 07:45:39.584798,3165.42,20.28,7,3,Thursday,2016.45,855.01,3068.9,0,0,0,0
2025-08-21 08:45:39.584798,3173.44,19.96,8,3,Thursday,2025.37,866.32,2959.31,0,0,0,0
2025-08-21 09:45:39.584798,3168.67,17.24,9,3,Thursday,2025.48,866.46,3166.17,0,0,0,0
2025-08-21 10:45:39.584798,3390.93,20.48,10,3,Thursday,2034.66,880.18,3170.64,0,0,0,0
2025-08-21 11:45:39.584798,2759.27,19.19,11,3,Thursday,2027.65,873.41,2927.45,0,0,0,0
2025-08-21 12:45:39.584798,2524.35,18.19,12,3,Thursday,2024.76,871.57,2593.56,0,0,0,0
2025-08-21 13:45:39.584798,2259.08,19.28,13,3,Thursday,2025.32,871.72,2245.78,0,0,0,0
2025-08-21 14:45:39.584798,1864.55,18.84,14,3,Thursday,2017.95,872.33,2041.39,0,0,0,0
2025-08-21 15:45:39.584798,1598.75,17.46,15,3,Thursday,2018.53,872.03,1584.71,0,0,0,0
2025-08-21 16:45:39.584798,1349.15,13.51,16,3,Thursday,2015.53,874.3,1421.35,0,0,0,0
2025-08-21 17:45:39.584798,1212.68,13.02,17,3,Thursday,2016.6,873.25,1187.0,0,0,0,0
2025-08-21 18:45:39.584798,977.74,12.8,18,3,Thursday,2014.02,876.35,1039.64,0,0,1,0
2025-08-21 19:45:39.584798,858.1,12.76,19,3,Thursday,2005.06,887.42,1073.15,0,0,1,0
2025-08-21 20:45:39.584798,884.94,9.84,20,3,Thursday,2006.72,885.19,845.07,0,0,1,0
2025-08-21 21:45:39.584798,655.08,9.84,21,3,Thursday,1999.19,896.28,835.74,0,0,1,0
2025-08-21 22:45:39.584798,1032.94,8.35,22,3,Thursday,2000.51,894.76,1001.19,0,0,0,0
2025-08-21 23:45:39.584798,1194.78,8.44,23,3,Thursday,2006.5,888.6,1051.21,0,0,0,0
2025-08-22 00:45:39.584798,1464.1,12.01,0,4,Friday,2009.67,886.42,1387.81,0,0,0,1
2025-08-22 01:45:39.584798,1683.99,13.67,1,4,Friday,2008.73,886.77,1706.68,0,0,0,1
